accession,source,domain,phylum,class_,order,family,genus,species
GB_GCA_018400055.1,bac120,Bacteria,Patescibacteria,Paceibacteria,Moranbacterales,M55B143,M55B143,M55B143 sp018400055
GB_GCA_018830585.1,bac120,Bacteria,Patescibacteria,Microgenomatia,UBA12405,JAHJSD01,JAHJSD01,JAHJSD01 sp018830585
GB_GCA_014584345.1,bac120,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera sp014584345
GB_GCA_002364485.1,bac120,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,SM1A02,UBA854,UBA854 sp002364485
GB_GCA_011525785.1,bac120,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,WYBT01,WYBT01 sp011525785
GB_GCA_007741475.1,bac120,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Rosistilla,Rosistilla sp007741475
GB_GCA_002714785.1,bac120,Bacteria,Poribacteria,WGA-4E,WGA-4E,UBA9662,TMED15,TMED15 sp002714785
GB_GCA_002697225.1,bac120,Bacteria,Poribacteria,WGA-4E,WGA-4E,UBA9662,UBA9662,UBA9662 sp002697225
GB_GCA_016744975.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,OSC116,OCS116,OCS116 sp016744975
RS_GCF_000314995.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,Paraglaciecola arctica
RS_GCF_018614775.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E fluorescens_BY
GB_GCA_003133265.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,PALSA-911,PALSA-911 sp003133265
GB_GCA_014622685.1,bac120,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales_A,Enterobacteriaceae_A,Buchnera,Buchnera aphidicola_BD
GB_GCA_017467335.1,bac120,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,UBA3637,RGIG4140,RGIG4140 sp017467335
