accession,source,domain,phylum,class_,order,family,genus,species
GB_GCA_002050035.1,bac120,Bacteria,4484-113,4484-113,4484-113,4484-113,4484-113,4484-113 sp002050035
GB_GCA_016932385.1,bac120,Bacteria,4484-113,4484-113,4484-113,JAFGCY01,JAFGCY01,JAFGCY01 sp016932385
GB_GCA_002084765.1,bac120,Bacteria,4572-55,4572-55,4572-55,4572-55,4572-55,4572-55 sp002084765
GB_GCA_003697105.1,bac120,Bacteria,4572-55,4572-55,J002,J002,J002,J002 sp003697105
GB_GCA_018812585.1,bac120,Bacteria,AABM5-125-24,B3-LCP,B3-LCP,B3-LCP,JAHJDJ01,JAHJDJ01 sp018812585
GB_GCA_013360195.1,bac120,Bacteria,AABM5-125-24,RPQS01,RPQS01,RPQS01,JABWCQ01,JABWCQ01 sp013360195
GB_GCA_002686915.1,bac120,Bacteria,ARS69,ARS69,ARS69,ARS69,ARS69,ARS69 sp002686915
GB_GCA_003598055.1,bac120,Bacteria,Abyssubacteria,SURF-5,SURF-5,SURF-5,SURF-17,SURF-17 sp003598055
GB_GCA_003598085.1,bac120,Bacteria,Abyssubacteria,SURF-5,SURF-5,SURF-5,SURF-5,SURF-5 sp003598085
GB_GCA_018335295.1,bac120,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,Aminicenantaceae,JAGXKI01,JAGXKI01 sp018335295
GB_GCA_013140955.1,bac120,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,JABFRY01,JABFRY01 sp013140955
GB_GCA_003135055.1,bac120,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,PALSA-243,PALSA-243 sp003135055
GB_GCA_002479805.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,Aquiluna sp002479805
GB_GCA_017306015.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionicimonas,Propionicimonas sp017306015
GB_GCA_014649295.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces libani_A
RS_GCF_001612615.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia,Nocardia amikacinitolerans
GB_GCA_013811975.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Geodermatophilaceae,JACCQS01,JACCQS01 sp013811975
GB_GCA_003162055.1,bac120,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Fen-549,Fen-549 sp003162055
RS_GCF_001542625.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseochromogenes
RS_GCF_002929705.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Specibacter,Specibacter sp002929705
GB_GCA_002715405.1,bac120,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8592,UBA8592,UBA8592 sp002715405
GB_GCA_902615855.1,bac120,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Actinomarina,Actinomarina sp902615855
RS_GCF_014645315.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Citricoccus,Citricoccus zhacaiensis
GB_GCA_902599555.1,bac120,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Actinomarina,Actinomarina sp902599555
GB_GCA_017853815.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,UBA5976,JAFMIT01,JAFMIT01 sp017853815
RS_GCF_001421565.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Agromyces,Agromyces sp001421565
RS_GCF_002224125.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002224125
RS_GCF_900098745.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces glycerinitolerans
RS_GCF_016786325.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Frankiaceae,Frankia,Frankia sp016786325
RS_GCF_900129375.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Streptoalloteichus,Streptoalloteichus hindustanus
GB_GCA_011331305.1,bac120,Bacteria,Actinobacteriota,Coriobacteriia,OPB41,PHET01,DSSC01,DSSC01 sp011331305
GB_GCA_014360585.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp014360585
RS_GCF_001005295.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces yangpuensis
RS_GCF_003194625.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides solisilvae
GB_GCA_009699205.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,QYPT01,QYPT01 sp009699205
RS_GCF_014656295.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sulfonofaciens
RS_GCF_006716785.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Thermopolyspora,Thermopolyspora flexuosa
RS_GCF_000224415.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Citricoccus,Citricoccus sp000224415
GB_GCA_005788585.1,bac120,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,SYBY01,SYBY01 sp005788585
GB_GCA_009703925.1,bac120,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,F1-20-MAGs160 sp009703925
GB_GCA_018970025.1,bac120,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,S36-B12,REEB460,REEB460 sp018970025
GB_GCA_016213555.1,ar53,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JACRAC01,JACRAC01,JACRAC01 sp016213555
GB_GCA_016932215.1,ar53,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,JAFGDH01,JAFGDH01 sp016932215
GB_GCA_011372105.1,bac120,Bacteria,Aerophobota,Aerophobia,Aerophobales,B3-G15,DRTT01,DRTT01 sp011372105
GB_GCA_000402295.1,bac120,Bacteria,Aerophobota,Aerophobia,Aerophobales,Aerophobaceae,Aerophobus,Aerophobus profundus
GB_GCA_016867655.1,ar53,Archaea,Altiarchaeota,Altiarchaeia,IMC4,SCGC-AAA252-I15,VGJA01,VGJA01 sp016867655
GB_GCA_015523055.1,ar53,Archaea,Altiarchaeota,Altiarchaeia,IMC4,QMZM01,WALD01,WALD01 sp015523055
RS_GCF_000185805.1,bac120,Bacteria,Aquificota,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,Thermovibrio ammonificans
GB_GCA_015487615.1,bac120,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,WFWF01,WFWF01 sp015487615
GB_GCA_903915615.1,bac120,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,CAIRTT01,CAIRTT01 sp903915615
GB_GCA_019239955.1,bac120,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Capsulimonadaceae,JAFAZD01,JAFAZD01 sp019239955
GB_GCA_016840385.1,ar53,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,MP8T-1,MP8T-1 sp016840385
GB_GCA_008080745.1,ar53,Archaea,Asgardarchaeota,Thorarchaeia,Thorarchaeales,Thorarchaeaceae,SHMX01,SHMX01 sp008080745
GB_GCA_018054125.1,bac120,Bacteria,Atribacterota,JS1,SB-45,UBA6794,UBA6794,UBA6794 sp018054125
GB_GCA_018894595.1,bac120,Bacteria,Atribacterota,JS1,SB-45,34-128,34-128,34-128 sp018894595
GB_GCA_018435605.1,bac120,Bacteria,Aureabacteria,SURF-26,SURF-26,SURF-26,R3-B46,R3-B46 sp018435605
GB_GCA_003599815.1,bac120,Bacteria,Aureabacteria,SURF-26,SURF-26,SURF-26,SURF-26,SURF-26 sp003599815
GB_GCA_003647755.1,bac120,Bacteria,B130-G9,B130-G9,B130-G9,B130-G9,B130-G9,B130-G9 sp003647755
GB_GCA_016929465.1,bac120,Bacteria,B130-G9,B130-G9,B130-G9,B130-G9,JAFGIT01,JAFGIT01 sp016929465
GB_GCA_018304505.1,ar53,Archaea,B1Sed10-29,B1Sed10-29,B1Sed10-29,JAGVWA01,JAGVWA01,JAGVWA01 sp018304505
GB_GCA_015522495.1,ar53,Archaea,B1Sed10-29,B1Sed10-29,WALL01,WAMD01,WAMD01,WAMD01 sp015522495
GB_GCA_013151915.1,bac120,Bacteria,BMS3Abin14,BMS3Abin14,BMS3Abin14,BMS3Abin14,BMS3ABIN14,BMS3ABIN14 sp013151915
GB_GCA_002897695.1,bac120,Bacteria,BMS3Abin14,BMS3Abin14,BMS3Abin14,BMS3Abin14,BMS3ABIN14,BMS3ABIN14 sp002897695
GB_GCA_016783505.1,bac120,Bacteria,BS750m-G25,BS750m-G25,BS750m-G25,BS750m-G25,BS750m-G25,BS750m-G25 sp016783505
GB_GCA_016783345.1,bac120,Bacteria,BS750m-G34,BS750m-G34,BS750m-G34,BS750m-G34,BS750m-G34,BS750m-G34 sp016783345
GB_GCA_016931385.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,SKHV01,SKHV01 sp016931385
GB_GCA_009777175.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,WRMI01,WRMI01 sp009777175
GB_GCA_905479535.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter sp905479535
RS_GCF_013404085.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella helgolandensis
RS_GCF_003992615.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,Muricauda beolgyonensis
GB_GCA_017642425.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,UBA1179,UBA1179 sp017642425
RS_GCF_014334015.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides intestinigallinarum
RS_GCF_003258705.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Arcticibacterium,Arcticibacterium luteifluviistationis
GB_GCA_017437825.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,Cryptobacteroides sp017437825
GB_GCA_017795025.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Schleiferiaceae,Croceimicrobium,Croceimicrobium sp017795025
GB_GCA_013285685.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter sp013285685
GB_GCA_905181635.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,BACL11,UWMA-0277,UWMA-0277 sp905181635
RS_GCF_000318095.2,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Alloprevotella,Alloprevotella sp000318095
RS_GCF_003958645.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga rhizosphaerae
GB_GCA_910587075.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173,UBA7173 sp910587075
GB_GCA_016278715.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,Marinilabilia,Marinilabilia sp016278715
GB_GCA_016288775.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,Cryptobacteroides sp016288775
RS_GCF_003992595.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,Muricauda sp002452975
GB_GCA_006227105.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,M0103,M0103 sp006227105
GB_GCA_003457135.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,UBA6024,UBA6024 sp003457135
GB_GCA_900555035.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900555035
RS_GCF_000523515.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter sp000523515
GB_GCA_013002995.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,JABDLO01,JABDLO01 sp013002995
GB_GCA_009827225.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SMXJ01,SMXJ01 sp009827225
RS_GCF_005217565.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Puteibacter,Puteibacter caeruleilacunae
GB_GCA_900317285.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,P3,UBA1711,UBA1711 sp900317285
RS_GCF_000382385.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella maculosa
GB_GCA_002314945.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,UBA4372,UBA4372 sp002314945
RS_GCF_900142785.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium carnipullorum
RS_GCF_900290275.1,bac120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900290275
GB_GCA_014376325.1,bac120,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,JACMRP01,JACMRP01 sp014376325
GB_GCA_002482685.1,bac120,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,UBA4096,UBA4096 sp002482685
GB_GCA_903904735.1,bac120,Bacteria,Bdellovibrionota_C,UBA2361,UBA2361,OMII01,OMII01,OMII01 sp903904735
GB_GCA_012514925.1,bac120,Bacteria,Bdellovibrionota_C,UBA2361,UBA2361,JAAYZI01,JAAYZI01,JAAYZI01 sp012514925
GB_GCA_001797335.1,bac120,Bacteria,Bdellovibrionota_E,O2-12-FULL-43-9,2-02-FULL-40-11,2-02-FULL-40-11,2-02-FULL-38-15-A,2-02-FULL-38-15-A sp001797335
GB_GCA_001798265.1,bac120,Bacteria,Bdellovibrionota_E,O2-12-FULL-43-9,O2-12-FULL-43-9,O2-12-FULL-43-9,O2-12-FULL-43-9,O2-12-FULL-43-9 sp001798265
GB_GCA_018334615.1,bac120,Bacteria,Bipolaricaulota,Bipolaricaulia,M55B111,M55B111,JAGXLP01,JAGXLP01 sp018334615
GB_GCA_903859225.1,bac120,Bacteria,Bipolaricaulota,Bipolaricaulia,UBA7950,UBA9294,CAIOGO01,CAIOGO01 sp903859225
GB_GCA_013152825.1,bac120,Bacteria,CAIJMQ01,CAIJMQ01,JAADFP01,JAADFP01,JAADFP01,JAADFP01 sp013152825
GB_GCA_903821905.1,bac120,Bacteria,CAIJMQ01,CAIJMQ01,CAIJMQ01,CAIJMQ01,CAIJMQ01,CAIJMQ01 sp903821905
GB_GCA_013791675.1,bac120,Bacteria,CG03,CG03,CG03,CG03,CG03,CG03 sp013791675
GB_GCA_007136585.1,bac120,Bacteria,CG03,SLGR01,SLGR01,SLGR01,SLGR01,SLGR01 sp007136585
GB_GCA_013151235.1,bac120,Bacteria,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,JAADIO01,JAADIO01 sp013151235
GB_GCA_001873285.1,bac120,Bacteria,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67 sp001873285
GB_GCA_001873295.1,bac120,Bacteria,CG2-30-70-394,CG2-30-70-394,CG2-30-70-394,CG2-30-70-394,CG2-30-70-394,CG2-30-70-394 sp001873295
GB_GCA_013360215.1,bac120,Bacteria,CLD3,CLD3,SB21,SB21,JABWCP01,JABWCP01 sp013360215
GB_GCA_013359335.1,bac120,Bacteria,CLD3,CLD3,SB21,SB21,JABWBZ01,JABWBZ01 sp013359335
GB_GCA_011053555.1,bac120,Bacteria,CSP1-3,CSP1-3,CSP1-3,HRBIN32,HRBIN32,HRBIN32 sp011053555
GB_GCA_005882335.1,bac120,Bacteria,CSP1-3,CSP1-3,CSP1-3,13-1-40CM-64-14,NP-4,NP-4 sp005882335
GB_GCA_016931515.1,bac120,Bacteria,CSSED10-310,CSSED10-310,CSSED10-310,CSSED10-310,JAFGEQ01,JAFGEQ01 sp016931515
GB_GCA_003558985.1,bac120,Bacteria,CSSED10-310,CSSED10-310,CSSED10-310,CSSED10-310,CSSED10-310,CSSED10-310 sp003558985
RS_GCF_000284335.1,bac120,Bacteria,Caldisericota,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,Caldisericum exile
GB_GCA_003650285.1,bac120,Bacteria,Caldisericota,Caldisericia,Caldisericales,Caldisericaceae,UBA646,UBA646 sp003650285
GB_GCA_013112635.1,bac120,Bacteria,Calditrichota,Calditrichia,Calditrichales,J004,JABFGF01,JABFGF01 sp013112635
GB_GCA_002049825.1,bac120,Bacteria,Calditrichota,Calditrichia,RBG-13-44-9,RBG-13-44-9,4484-188,4484-188 sp002049825
GB_GCA_000494225.1,bac120,Bacteria,Calescibacterota,Calescibacteriia,Calescibacteriales,Calescibacteriaceae,Calescibacterium,Calescibacterium nevadense
GB_GCA_011364105.1,bac120,Bacteria,Calescibacterota,Calescibacteriia,Calescibacteriales,Calescibacteriaceae,Calescibacterium,Calescibacterium sp011364105
RS_GCF_900198405.1,bac120,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter cetorum_C
GB_GCA_900539505.1,bac120,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_B,Campylobacter_B sp900539505
GB_GCA_002709385.1,bac120,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,GCA-2709385,GCA-2709385,GCA-2709385 sp002709385
RS_GCF_001545115.1,bac120,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Parachlamydiaceae,Protochlamydia,Protochlamydia sp001545115
GB_GCA_003551705.1,bac120,Bacteria,Chloroflexota,Dehalococcoidia,RBG-13-53-26,RBG-13-53-26,PUNJ01,PUNJ01 sp003551705
GB_GCA_902806325.1,bac120,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,UBA6265,CADCWE01,CADCWE01 sp902806325
GB_GCA_018399795.1,bac120,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,UBA5760,UBA5760,UBA5760 sp018399795
GB_GCA_018969115.1,bac120,Bacteria,Chloroflexota,Anaerolineae,Thermoflexales,J036,AQU-03,AQU-03 sp018969115
GB_GCA_005880055.1,bac120,Bacteria,Chloroflexota,Dehalococcoidia,SM23-28-2,RBG-16-64-32,CF-162,CF-162 sp005880055
RS_GCF_000177635.2,bac120,Bacteria,Chrysiogenota,Chrysiogenetes,Chrysiogenales,Chrysiogenaceae,Desulfurispirillum,Desulfurispirillum indicum
RS_GCF_000469585.1,bac120,Bacteria,Chrysiogenota,Chrysiogenetes,Chrysiogenales,Chrysiogenaceae,Chrysiogenes,Chrysiogenes arsenatis
GB_GCA_003647825.1,bac120,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,TCS61,B137-G9,B137-G9 sp003647825
GB_GCA_003564155.1,bac120,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,PWNZ01,PWOA01,PWOA01 sp003564155
GB_GCA_013178255.1,bac120,Bacteria,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,JABLWY01,JABLWY01 sp013178255
RS_GCF_000378005.1,bac120,Bacteria,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,Coprothermobacter,Coprothermobacter platensis
GB_GCA_003280295.1,bac120,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,AG-363-K07,AG-363-K07 sp003280295
RS_GCF_014696925.1,bac120,Bacteria,Cyanobacteria,Cyanobacteriia,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena sp014696925
RS_GCF_002368095.1,bac120,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Rivularia,Rivularia parasitica
GB_GCA_003209055.1,bac120,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003209055
GB_GCA_902572915.1,bac120,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp902572915
GB_GCA_011388315.1,bac120,Bacteria,DRYD01,DRYD01,DRYD01,DRYD01,DRYD01,DRYD01 sp011388315
GB_GCA_011047215.1,bac120,Bacteria,DRYD01,DRYD01,DRYD01,DRYD01,DSNQ01,DSNQ01 sp011047215
GB_GCA_012735455.1,bac120,Bacteria,DTU030,DTU030,DUMP01,DUMP01,JAAYHG01,JAAYHG01 sp012735455
GB_GCA_012839755.1,bac120,Bacteria,DTU030,DTU030,DUMP01,DUMP01,DUMP01,DUMP01 sp012839755
GB_GCA_014360335.1,bac120,Bacteria,DUMJ01,DUMJ01,DUMJ01,DUMJ01,DUMJ01,DUMJ01 sp014360335
GB_GCA_012839925.1,bac120,Bacteria,DUMJ01,DUMJ01,DUMJ01,DUMJ01,DUMJ01,DUMJ01 sp012839925
GB_GCA_910586745.1,bac120,Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,Mucispirillaceae,Mucispirillum,Mucispirillum sp910586745
GB_GCA_001603805.1,bac120,Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,Denitrovibrionaceae,Geovibrio,Geovibrio sp001603805
GB_GCA_011390735.1,bac120,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,JAABTL01,JAABTL01 sp011390735
RS_GCF_003444775.1,bac120,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus ficus
GB_GCA_016784425.1,bac120,Bacteria,Delongbacteria,UBA4055,CAIWAD01,BS150m-G50,BS150m-G50,BS150m-G50 sp016784425
GB_GCA_016938275.1,bac120,Bacteria,Delongbacteria,UBA4055,UBA4055,UBA4055,JAFGUZ01,JAFGUZ01 sp016938275
GB_GCA_001771315.1,bac120,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,2-12-FULL-36-22,2-12-FULL-36-22 sp001771315
GB_GCA_018897535.1,bac120,Bacteria,Dependentiae,Babeliae,Babeliales,UASB340,UASB340,UASB340 sp018897535
GB_GCA_001871015.1,bac120,Bacteria,Desantisbacteria,UBA1551,UBA1551,UBA1559,UBA1559,UBA1559 sp001871015
GB_GCA_001871075.1,bac120,Bacteria,Desantisbacteria,UBA1551,UBA1551,UBA1551,UBA1551,UBA1551 sp001871075
RS_GCF_000013405.1,bac120,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Syntrophaceae,Syntrophus,Syntrophus aciditrophicus
RS_GCF_001888165.1,bac120,Bacteria,Desulfobacterota,Desulfuromonadia,Desulfuromonadales,Syntrophotaleaceae,Syntrophotalea,Syntrophotalea acetylenica
GB_GCA_016223005.1,bac120,Bacteria,Desulfobacterota,GWC2-55-46,UBA9637,GWC2-42-11,JACRPW01,JACRPW01 sp016223005
GB_GCA_002428445.1,bac120,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA6109,UBA6109,UBA6109 sp002428445
GB_GCA_003447545.1,bac120,Bacteria,Desulfobacterota_B,Binatia,UBA12015,UBA12015,UBA12015,UBA12015 sp003447545
GB_GCA_014896235.1,bac120,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,JADMIL01,JADMIL01 sp014896235
GB_GCA_002869015.1,bac120,Bacteria,Desulfobacterota_C,Deferrisomatia,Deferrisomatales,BM512,BM512,BM512 sp002869015
GB_GCA_011049115.1,bac120,Bacteria,Desulfobacterota_C,Anaeroferrophillalia,Anaeroferrophillales,JAADEO01,DSCM01,DSCM01 sp011049115
GB_GCA_014075295.1,bac120,Bacteria,Desulfobacterota_D,UBA1144,RKRQ01,GCA-014075295,GCA-014075295,GCA-014075295 sp014075295
GB_GCA_001443445.1,bac120,Bacteria,Desulfobacterota_D,UBA1144,UBA2774,CSP1-2,CSP1-2,CSP1-2 sp001443445
GB_GCA_016220005.1,bac120,Bacteria,Desulfobacterota_E,MBNT15,MBNT15,MBNT15,JACRIV01,JACRIV01 sp016220005
GB_GCA_011773515.1,bac120,Bacteria,Desulfobacterota_E,MBNT15,J040,J040,WVXK01,WVXK01 sp011773515
GB_GCA_012719415.1,bac120,Bacteria,Desulfobacterota_G,Syntrophorhabdia,Syntrophorhabdales,Syntrophorhabdaceae,Delta-02,Delta-02 sp012719415
GB_GCA_002418945.1,bac120,Bacteria,Desulfobacterota_G,Syntrophorhabdia,Syntrophorhabdales,Syntrophorhabdaceae,UBA5609,UBA5609 sp002418945
GB_GCA_007125075.1,bac120,Bacteria,Desulfobacterota_I,Desulfovibrionia,Desulfovibrionales,Desulfonatronovibrionaceae,Desulfonatronospira,Desulfonatronospira sp007125075
RS_GCF_900217235.1,bac120,Bacteria,Desulfobacterota_I,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio,Pseudodesulfovibrio profundus
GB_GCA_002878375.1,bac120,Bacteria,Dictyoglomota,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,NZ13-RE01,NZ13-RE01 sp002878375
RS_GCF_000021645.1,bac120,Bacteria,Dictyoglomota,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,Dictyoglomus turgidum
GB_GCA_003151665.1,bac120,Bacteria,Dormibacterota,Dormibacteria,Dormibacterales,Dormibacteraceae,Palsa-872,Palsa-872 sp003151665
GB_GCA_003142035.1,bac120,Bacteria,Dormibacterota,Dormibacteria,UBA8260,UBA8260,UBA8260,UBA8260 sp003142035
GB_GCA_013138765.1,ar53,Archaea,EX4484-52,EX4484-52,EX4484-52,GLR71,GLR71,GLR71 sp013138765
GB_GCA_013139905.1,ar53,Archaea,EX4484-52,EX4484-52,EX4484-52,B79-G9,GLR112,GLR112 sp013139905
GB_GCA_002403115.1,bac120,Bacteria,Edwardsbacteria,AC1,AC1,UBA8901,UBA8901,UBA8901 sp002403115
GB_GCA_018821925.1,bac120,Bacteria,Edwardsbacteria,AC1,AC1,EtOH8,UBA2226,UBA2226 sp018821925
GB_GCA_005893275.1,bac120,Bacteria,Eisenbacteria,RBG-16-71-46,SZUA-252,SZUA-252,WS-7,WS-7 sp005893275
GB_GCA_003235575.1,bac120,Bacteria,Eisenbacteria,RBG-16-71-46,SZUA-252,SZUA-252,SZUA-252,SZUA-252 sp003235575
